"","Suma","Promedio","Entidad","Date"
"1",29,2.63636363636364,"Aguascalientes",2015-01-01
"2",41,3.72727272727273,"Aguascalientes",2015-02-01
"3",26,2.36363636363636,"Aguascalientes",2015-03-01
"4",41,3.72727272727273,"Aguascalientes",2015-04-01
"5",35,3.18181818181818,"Aguascalientes",2015-05-01
"6",38,3.45454545454545,"Aguascalientes",2015-06-01
"7",37,3.36363636363636,"Aguascalientes",2015-07-01
"8",43,3.90909090909091,"Aguascalientes",2015-08-01
"9",50,4.54545454545455,"Aguascalientes",2015-09-01
"10",58,5.27272727272727,"Aguascalientes",2015-10-01
"11",43,3.90909090909091,"Aguascalientes",2015-11-01
"12",40,3.63636363636364,"Aguascalientes",2015-12-01
"13",579,115.8,"Baja California",2015-01-01
"14",628,125.6,"Baja California",2015-02-01
"15",806,161.2,"Baja California",2015-03-01
"16",734,146.8,"Baja California",2015-04-01
"17",693,138.6,"Baja California",2015-05-01
"18",834,166.8,"Baja California",2015-06-01
"19",818,163.6,"Baja California",2015-07-01
"20",840,168,"Baja California",2015-08-01
"21",882,176.4,"Baja California",2015-09-01
"22",804,160.8,"Baja California",2015-10-01
"23",674,134.8,"Baja California",2015-11-01
"24",600,120,"Baja California",2015-12-01
"25",123,24.6,"Baja California Sur",2015-01-01
"26",119,23.8,"Baja California Sur",2015-02-01
"27",170,34,"Baja California Sur",2015-03-01
"28",142,28.4,"Baja California Sur",2015-04-01
"29",116,23.2,"Baja California Sur",2015-05-01
"30",143,28.6,"Baja California Sur",2015-06-01
"31",142,28.4,"Baja California Sur",2015-07-01
"32",124,24.8,"Baja California Sur",2015-08-01
"33",162,32.4,"Baja California Sur",2015-09-01
"34",141,28.2,"Baja California Sur",2015-10-01
"35",166,33.2,"Baja California Sur",2015-11-01
"36",143,28.6,"Baja California Sur",2015-12-01
"37",1,0.0909090909090909,"Campeche",2015-01-01
"38",0,0,"Campeche",2015-02-01
"39",3,0.272727272727273,"Campeche",2015-03-01
"40",1,0.0909090909090909,"Campeche",2015-04-01
"41",3,0.272727272727273,"Campeche",2015-05-01
"42",5,0.454545454545455,"Campeche",2015-06-01
"43",1,0.0909090909090909,"Campeche",2015-07-01
"44",1,0.0909090909090909,"Campeche",2015-08-01
"45",0,0,"Campeche",2015-09-01
"46",2,0.181818181818182,"Campeche",2015-10-01
"47",0,0,"Campeche",2015-11-01
"48",1,0.0909090909090909,"Campeche",2015-12-01
"49",60,0.508474576271186,"Chiapas",2015-01-01
"50",76,0.644067796610169,"Chiapas",2015-02-01
"51",81,0.686440677966102,"Chiapas",2015-03-01
"52",86,0.728813559322034,"Chiapas",2015-04-01
"53",87,0.73728813559322,"Chiapas",2015-05-01
"54",90,0.76271186440678,"Chiapas",2015-06-01
"55",84,0.711864406779661,"Chiapas",2015-07-01
"56",102,0.864406779661017,"Chiapas",2015-08-01
"57",181,1.53389830508475,"Chiapas",2015-09-01
"58",157,1.33050847457627,"Chiapas",2015-10-01
"59",130,1.10169491525424,"Chiapas",2015-11-01
"60",117,0.991525423728814,"Chiapas",2015-12-01
"61",723,10.7910447761194,"Chihuahua",2015-01-01
"62",820,12.2388059701493,"Chihuahua",2015-02-01
"63",921,13.7462686567164,"Chihuahua",2015-03-01
"64",929,13.865671641791,"Chihuahua",2015-04-01
"65",1134,16.9253731343284,"Chihuahua",2015-05-01
"66",1217,18.1641791044776,"Chihuahua",2015-06-01
"67",1210,18.0597014925373,"Chihuahua",2015-07-01
"68",1308,19.5223880597015,"Chihuahua",2015-08-01
"69",1190,17.7611940298507,"Chihuahua",2015-09-01
"70",1077,16.0746268656716,"Chihuahua",2015-10-01
"71",915,13.6567164179104,"Chihuahua",2015-11-01
"72",829,12.3731343283582,"Chihuahua",2015-12-01
"73",894,52.5882352941176,"Ciudad de Mexico",2015-01-01
"74",1011,59.4705882352941,"Ciudad de Mexico",2015-02-01
"75",1229,72.2941176470588,"Ciudad de Mexico",2015-03-01
"76",1266,74.4705882352941,"Ciudad de Mexico",2015-04-01
"77",1357,79.8235294117647,"Ciudad de Mexico",2015-05-01
"78",1441,84.7647058823529,"Ciudad de Mexico",2015-06-01
"79",1543,90.7647058823529,"Ciudad de Mexico",2015-07-01
"80",1490,87.6470588235294,"Ciudad de Mexico",2015-08-01
"81",1497,88.0588235294118,"Ciudad de Mexico",2015-09-01
"82",1537,90.4117647058823,"Ciudad de Mexico",2015-10-01
"83",1457,85.7058823529412,"Ciudad de Mexico",2015-11-01
"84",1381,81.2352941176471,"Ciudad de Mexico",2015-12-01
"85",147,3.86842105263158,"Coahuila de Zaragoza",2015-01-01
"86",141,3.71052631578947,"Coahuila de Zaragoza",2015-02-01
"87",136,3.57894736842105,"Coahuila de Zaragoza",2015-03-01
"88",202,5.31578947368421,"Coahuila de Zaragoza",2015-04-01
"89",171,4.5,"Coahuila de Zaragoza",2015-05-01
"90",225,5.92105263157895,"Coahuila de Zaragoza",2015-06-01
"91",229,6.02631578947368,"Coahuila de Zaragoza",2015-07-01
"92",201,5.28947368421053,"Coahuila de Zaragoza",2015-08-01
"93",213,5.60526315789474,"Coahuila de Zaragoza",2015-09-01
"94",201,5.28947368421053,"Coahuila de Zaragoza",2015-10-01
"95",122,3.21052631578947,"Coahuila de Zaragoza",2015-11-01
"96",166,4.36842105263158,"Coahuila de Zaragoza",2015-12-01
"97",30,3,"Colima",2015-01-01
"98",34,3.4,"Colima",2015-02-01
"99",41,4.1,"Colima",2015-03-01
"100",63,6.3,"Colima",2015-04-01
"101",54,5.4,"Colima",2015-05-01
"102",71,7.1,"Colima",2015-06-01
"103",40,4,"Colima",2015-07-01
"104",57,5.7,"Colima",2015-08-01
"105",40,4,"Colima",2015-09-01
"106",44,4.4,"Colima",2015-10-01
"107",45,4.5,"Colima",2015-11-01
"108",30,3,"Colima",2015-12-01
"109",151,3.87179487179487,"Durango",2015-01-01
"110",155,3.97435897435897,"Durango",2015-02-01
"111",196,5.02564102564103,"Durango",2015-03-01
"112",243,6.23076923076923,"Durango",2015-04-01
"113",372,9.53846153846154,"Durango",2015-05-01
"114",404,10.3589743589744,"Durango",2015-06-01
"115",387,9.92307692307692,"Durango",2015-07-01
"116",427,10.9487179487179,"Durango",2015-08-01
"117",348,8.92307692307692,"Durango",2015-09-01
"118",384,9.84615384615385,"Durango",2015-10-01
"119",360,9.23076923076923,"Durango",2015-11-01
"120",94,2.41025641025641,"Durango",2015-12-01
"121",612,13.304347826087,"Guanajuato",2015-01-01
"122",638,13.8695652173913,"Guanajuato",2015-02-01
"123",747,16.2391304347826,"Guanajuato",2015-03-01
"124",864,18.7826086956522,"Guanajuato",2015-04-01
"125",916,19.9130434782609,"Guanajuato",2015-05-01
"126",929,20.195652173913,"Guanajuato",2015-06-01
"127",936,20.3478260869565,"Guanajuato",2015-07-01
"128",926,20.1304347826087,"Guanajuato",2015-08-01
"129",994,21.6086956521739,"Guanajuato",2015-09-01
"130",921,20.0217391304348,"Guanajuato",2015-10-01
"131",922,20.0434782608696,"Guanajuato",2015-11-01
