,Year,Entidad,Tipo.de.delito,Enerosum,Eneromean,Febrerosum,Febreromean,Marzosum,Marzomean,Abrilsum,Abrilmean,Mayosum,Mayomean,Juniosum,Juniomean,Juliosum,Juliomean,Agostosum,Agostomean,Septiembresum,Septiembremean,Octubresum,Octubremean,Noviembresum,Noviembremean,Diciembresum,Diciembremean
1,2015,Aguascalientes,Violencia familiar,29,2.636363636,41,3.727272727,26,2.363636364,41,3.727272727,35,3.181818182,38,3.454545455,37,3.363636364,43,3.909090909,50,4.545454545,58,5.272727273,43,3.909090909,40,3.636363636
2,2015,Baja California,Violencia familiar,579,115.8,628,125.6,806,161.2,734,146.8,693,138.6,834,166.8,818,163.6,840,168,882,176.4,804,160.8,674,134.8,600,120
3,2015,Baja California Sur,Violencia familiar,123,24.6,119,23.8,170,34,142,28.4,116,23.2,143,28.6,142,28.4,124,24.8,162,32.4,141,28.2,166,33.2,143,28.6
4,2015,Campeche,Violencia familiar,1,0.090909091,0,0,3,0.272727273,1,0.090909091,3,0.272727273,5,0.454545455,1,0.090909091,1,0.090909091,0,0,2,0.181818182,0,0,1,0.090909091
5,2015,Chiapas,Violencia familiar,60,0.508474576,76,0.644067797,81,0.686440678,86,0.728813559,87,0.737288136,90,0.762711864,84,0.711864407,102,0.86440678,181,1.533898305,157,1.330508475,130,1.101694915,117,0.991525424
6,2015,Chihuahua,Violencia familiar,723,10.79104478,820,12.23880597,921,13.74626866,929,13.86567164,1134,16.92537313,1217,18.1641791,1210,18.05970149,1308,19.52238806,1190,17.76119403,1077,16.07462687,915,13.65671642,829,12.37313433
7,2015,Ciudad de México,Violencia familiar,894,52.58823529,1011,59.47058824,1229,72.29411765,1266,74.47058824,1357,79.82352941,1441,84.76470588,1543,90.76470588,1490,87.64705882,1497,88.05882353,1537,90.41176471,1457,85.70588235,1381,81.23529412
8,2015,Coahuila de Zaragoza,Violencia familiar,147,3.868421053,141,3.710526316,136,3.578947368,202,5.315789474,171,4.5,225,5.921052632,229,6.026315789,201,5.289473684,213,5.605263158,201,5.289473684,122,3.210526316,166,4.368421053
9,2015,Colima,Violencia familiar,30,3,34,3.4,41,4.1,63,6.3,54,5.4,71,7.1,40,4,57,5.7,40,4,44,4.4,45,4.5,30,3
10,2015,Durango,Violencia familiar,151,3.871794872,155,3.974358974,196,5.025641026,243,6.230769231,372,9.538461538,404,10.35897436,387,9.923076923,427,10.94871795,348,8.923076923,384,9.846153846,360,9.230769231,94,2.41025641
11,2015,Guanajuato,Violencia familiar,612,13.30434783,638,13.86956522,747,16.23913043,864,18.7826087,916,19.91304348,929,20.19565217,936,20.34782609,926,20.13043478,994,21.60869565,921,20.02173913,922,20.04347826,893,19.41304348
12,2015,Guerrero,Violencia familiar,221,2.728395062,192,2.37037037,211,2.604938272,208,2.567901235,184,2.271604938,151,1.864197531,145,1.790123457,160,1.975308642,99,1.222222222,150,1.851851852,167,2.061728395,134,1.654320988
13,2015,Hidalgo,Violencia familiar,100,1.19047619,155,1.845238095,117,1.392857143,174,2.071428571,246,2.928571429,143,1.702380952,180,2.142857143,281,3.345238095,237,2.821428571,237,2.821428571,277,3.297619048,147,1.75
14,2015,Jalisco,Violencia familiar,345,2.738095238,362,2.873015873,449,3.563492063,431,3.420634921,462,3.666666667,585,4.642857143,595,4.722222222,574,4.555555556,921,7.30952381,1361,10.8015873,1297,10.29365079,1161,9.214285714
15,2015,México,Violencia familiar,325,2.6,281,2.248,341,2.728,360,2.88,325,2.6,453,3.624,460,3.68,467,3.736,475,3.8,434,3.472,417,3.336,384,3.072
16,2015,Michoacán de Ocampo,Violencia familiar,89,0.787610619,104,0.920353982,74,0.654867257,113,1,97,0.85840708,81,0.716814159,59,0.522123894,80,0.707964602,41,0.362831858,66,0.584070796,57,0.504424779,60,0.530973451
17,2015,Morelos,Violencia familiar,268,8.121212121,341,10.33333333,355,10.75757576,366,11.09090909,336,10.18181818,360,10.90909091,324,9.818181818,374,11.33333333,316,9.575757576,384,11.63636364,315,9.545454545,295,8.939393939
18,2015,Nayarit,Violencia familiar,20,1,24,1.2,42,2.1,28,1.4,37,1.85,26,1.3,15,0.75,25,1.25,39,1.95,18,0.9,15,0.75,9,0.45
19,2015,Nuevo León,Violencia familiar,1045,20.49019608,1102,21.60784314,1286,25.21568627,1432,28.07843137,1532,30.03921569,1671,32.76470588,1630,31.96078431,1669,32.7254902,1690,33.1372549,1435,28.1372549,1325,25.98039216,1245,24.41176471
20,2015,Oaxaca,Violencia familiar,0,0,88,2.444444444,0,0,0,0,97,2.694444444,0,0,0,0,194,5.388888889,0,0,0,0,239,6.638888889,0,0
21,2015,Puebla,Violencia familiar,336,1.548387097,370,1.705069124,387,1.783410138,442,2.036866359,462,2.129032258,421,1.940092166,485,2.235023041,451,2.078341014,393,1.811059908,468,2.156682028,440,2.02764977,369,1.700460829
22,2015,Querétaro,Violencia familiar,49,2.578947368,67,3.526315789,81,4.263157895,74,3.894736842,86,4.526315789,76,4,73,3.842105263,82,4.315789474,86,4.526315789,106,5.578947368,83,4.368421053,79,4.157894737
23,2015,Quintana Roo,Violencia familiar,198,18,174,15.81818182,218,19.81818182,287,26.09090909,280,25.45454545,270,24.54545455,297,27,280,25.45454545,276,25.09090909,271,24.63636364,283,25.72727273,224,20.36363636
24,2015,San Luis Potosí,Violencia familiar,210,3.620689655,248,4.275862069,314,5.413793103,252,4.344827586,278,4.793103448,242,4.172413793,225,3.879310345,224,3.862068966,214,3.689655172,206,3.551724138,251,4.327586207,260,4.482758621
25,2015,Sinaloa,Violencia familiar,162,9,192,10.66666667,195,10.83333333,207,11.5,218,12.11111111,243,13.5,195,10.83333333,206,11.44444444,247,13.72222222,217,12.05555556,189,10.5,116,6.444444444
26,2015,Sonora,Violencia familiar,114,1.540540541,178,2.405405405,204,2.756756757,196,2.648648649,198,2.675675676,242,3.27027027,192,2.594594595,158,2.135135135,189,2.554054054,236,3.189189189,169,2.283783784,155,2.094594595
27,2015,Tabasco,Violencia familiar,283,16.64705882,307,18.05882353,384,22.58823529,395,23.23529412,416,24.47058824,211,12.41176471,346,20.35294118,358,21.05882353,376,22.11764706,381,22.41176471,403,23.70588235,370,21.76470588
28,2015,Tamaulipas,Violencia familiar,126,2.930232558,38,0.88372093,196,4.558139535,197,4.581395349,241,5.604651163,273,6.348837209,212,4.930232558,235,5.465116279,164,3.813953488,205,4.76744186,216,5.023255814,291,6.76744186
29,2015,Tlaxcala,Violencia familiar,8,0.133333333,12,0.2,0,0,0,0,0,0,0,0,0,0,1,0.016666667,1,0.016666667,1,0.016666667,0,0,1,0.016666667
30,2015,Veracruz de Ignacio de la Llave,Violencia familiar,236,1.102803738,206,0.962616822,213,0.995327103,461,2.154205607,438,2.046728972,307,1.434579439,148,0.691588785,342,1.598130841,297,1.387850467,380,1.775700935,305,1.425233645,239,1.11682243
31,2015,Yucatán,Violencia familiar,201,1.896226415,58,0.547169811,230,2.169811321,188,1.773584906,206,1.943396226,201,1.896226415,222,2.094339623,175,1.650943396,164,1.547169811,175,1.650943396,167,1.575471698,171,1.613207547
32,2015,Zacatecas,Violencia familiar,36,0.620689655,61,1.051724138,52,0.896551724,70,1.206896552,71,1.224137931,78,1.344827586,49,0.844827586,52,0.896551724,91,1.568965517,61,1.051724138,72,1.24137931,42,0.724137931
33,2016,Aguascalientes,Violencia familiar,50,4.545454545,41,3.727272727,50,4.545454545,52,4.727272727,62,5.636363636,47,4.272727273,52,4.727272727,56,5.090909091,59,5.363636364,70,6.363636364,63,5.727272727,43,3.909090909
34,2016,Baja California,Violencia familiar,556,111.2,661,132.2,695,139,776,155.2,795,159,781,156.2,799,159.8,809,161.8,681,136.2,712,142.4,564,112.8,486,97.2
35,2016,Baja California Sur,Violencia familiar,128,25.6,171,34.2,151,30.2,182,36.4,192,38.4,191,38.2,191,38.2,170,34,174,34.8,224,44.8,172,34.4,153,30.6
36,2016,Campeche,Violencia familiar,1,0.090909091,2,0.181818182,4,0.363636364,3,0.272727273,3,0.272727273,5,0.454545455,7,0.636363636,6,0.545454545,1,0.090909091,4,0.363636364,5,0.454545455,2,0.181818182
37,2016,Chiapas,Violencia familiar,113,0.957627119,132,1.118644068,151,1.279661017,164,1.389830508,177,1.5,192,1.627118644,179,1.516949153,181,1.533898305,169,1.43220339,184,1.559322034,186,1.576271186,136,1.152542373
38,2016,Chihuahua,Violencia familiar,904,13.49253731,927,13.8358209,1112,16.59701493,1112,16.59701493,1305,19.47761194,1167,17.41791045,1201,17.92537313,1011,15.08955224,916,13.67164179,868,12.95522388,732,10.92537313,705,10.52238806
39,2016,Ciudad de México,Violencia familiar,1266,74.47058824,1529,89.94117647,1524,89.64705882,1722,101.2941176,1831,107.7058824,1772,104.2352941,1430,84.11764706,1593,93.70588235,1516,89.17647059,1530,90,1332,78.35294118,1381,81.23529412
40,2016,Coahuila de Zaragoza,Violencia familiar,189,4.973684211,509,13.39473684,531,13.97368421,525,13.81578947,627,16.5,834,21.94736842,600,15.78947368,571,15.02631579,847,22.28947368,543,14.28947368,481,12.65789474,628,16.52631579
41,2016,Colima,Violencia familiar,29,2.9,30,3,39,3.9,0,0,0,0,0,0,17,1.7,16,1.6,18,1.8,15,1.5,21,2.1,18,1.8
42,2016,Durango,Violencia familiar,336,8.615384615,368,9.435897436,421,10.79487179,525,13.46153846,476,12.20512821,528,13.53846154,450,11.53846154,475,12.17948718,461,11.82051282,394,10.1025641,452,11.58974359,386,9.897435897
43,2016,Guanajuato,Violencia familiar,806,17.52173913,939,20.41304348,928,20.17391304,1234,26.82608696,1418,30.82608696,1055,22.93478261,747,16.23913043,831,18.06521739,798,17.34782609,841,18.2826087,675,14.67391304,861,18.7173913
44,2016,Guerrero,Violencia familiar,150,1.851851852,150,1.851851852,172,2.12345679,164,2.024691358,176,2.172839506,178,2.197530864,170,2.098765432,207,2.555555556,230,2.839506173,200,2.469135802,177,2.185185185,209,2.580246914
45,2016,Hidalgo,Violencia familiar,291,3.464285714,234,2.785714286,226,2.69047619,47,0.55952381,295,3.511904762,314,3.738095238,171,2.035714286,263,3.130952381,413,4.916666667,188,2.238095238,304,3.619047619,332,3.952380952
46,2016,Jalisco,Violencia familiar,948,7.523809524,935,7.420634921,1016,8.063492063,1312,10.41269841,1387,11.00793651,936,7.428571429,745,5.912698413,900,7.142857143,801,6.357142857,602,4.777777778,828,6.571428571,1021,8.103174603
47,2016,México,Violencia familiar,321,2.568,468,3.744,443,3.544,537,4.296,626,5.008,444,3.552,443,3.544,437,3.496,490,3.92,437,3.496,397,3.176,431,3.448
48,2016,Michoacán de Ocampo,Violencia familiar,45,0.398230088,50,0.442477876,65,0.575221239,106,0.938053097,66,0.584070796,51,0.451327434,48,0.424778761,70,0.619469027,59,0.522123894,91,0.805309735,90,0.796460177,46,0.407079646
49,2016,Morelos,Violencia familiar,368,11.15151515,423,12.81818182,420,12.72727273,446,13.51515152,504,15.27272727,391,11.84848485,333,10.09090909,311,9.424242424,334,10.12121212,327,9.909090909,288,8.727272727,371,11.24242424
50,2016,Nayarit,Violencia familiar,19,0.95,36,1.8,28,1.4,44,2.2,48,2.4,57,2.85,23,1.15,41,2.05,47,2.35,50,2.5,39,1.95,44,2.2
51,2016,Nuevo León,Violencia familiar,1056,20.70588235,1363,26.7254902,1383,27.11764706,1521,29.82352941,1618,31.7254902,1889,37.03921569,1849,36.25490196,1592,31.21568627,1650,32.35294118,1450,28.43137255,1247,24.45098039,1155,22.64705882
52,2016,Oaxaca,Violencia familiar,202,5.611111111,215,5.972222222,268,7.444444444,348,9.666666667,360,10,321,8.916666667,333,9.25,330,9.166666667,340,9.444444444,0,0,326,9.055555556,310,8.611111111
53,2016,Puebla,Violencia familiar,368,1.695852535,415,1.912442396,494,2.276497696,605,2.788018433,651,3,469,2.161290323,390,1.797235023,407,1.875576037,459,2.115207373,500,2.304147465,464,2.138248848,364,1.677419355
